Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL,test CRPS
2,0.6547121405601501,0.8125768005847931,0.8986108091980993,0,1.257987642288208,1.2289358377456665,nan
2,0.23452820628881454,0.9548969864845276,0.9555942861081402,1,0.25781256556510923,0.30651864409446716,nan
2,0.21516113728284836,0.9638174772262573,0.9609436491346116,2,0.07978274375200271,0.19623439013957977,nan
2,0.18959272652864456,0.964484453201294,0.961839909038898,3,0.11883763819932938,0.12497597187757492,nan
2,0.20420163869857788,0.9645938277244568,0.962612538577253,4,0.13263993337750435,0.2082274705171585,nan
2,0.20666494965553284,0.9632218480110168,0.9620968095653755,5,0.24838882684707642,0.21167799830436707,nan
2,0.23032907396554947,0.9635096192359924,0.9623908233011188,6,0.09661211743950844,0.33938533067703247,nan
2,0.1878214254975319,0.9642365276813507,0.9621963404447704,7,0.056821133196353915,0.07469652593135834,nan
2,0.2551078051328659,0.9624773859977722,0.9626824850885993,8,0.08183815479278564,0.49531489610671997,nan
2,0.2106546238064766,0.9640935659408569,0.9623375634358735,9,0.1545960278250277,0.2254847139120102,nan
2,0.193192720413208,0.9653746783733368,0.9621394656565448,10,-0.097856168076396,0.13468880951404572,nan
2,0.19909817725419998,0.9654442667961121,0.962812082325774,11,-0.06170113980770111,0.1504446268081665,nan
2,0.1799812763929367,0.9652839004993439,0.9626433859200196,12,0.1408068835735321,0.0767124816775322,nan
2,0.18182317167520523,0.9654198884963989,0.9630359665556967,13,-0.10623492300510406,0.20865008234977722,nan
2,0.17867138981819153,0.9658774435520172,0.9626604965554604,14,0.05077947676181793,0.03851357474923134,nan
2,0.1815962940454483,0.9656396210193634,0.9631793585005879,15,-0.05704070925712586,0.039742909371852875,nan
2,0.1799900010228157,0.9659146666526794,0.9631504391167444,16,0.21130838692188264,0.04361579567193985,nan
2,0.24112359434366226,0.9544821083545685,0.9629670420242027,17,0.11796022430062295,0.24114345014095306,nan
2,0.18199613690376282,0.9654935002326965,0.963352932844405,18,-0.13132043182849884,0.06321101635694504,nan
2,0.17771244794130325,0.9639424681663513,0.9628277469920227,19,0.07704484462738037,-2.8631284294533543e-05,nan
2,0.18081308901309967,0.9655248820781708,0.9629877675826239,20,0.02539951279759407,0.04873491823673248,nan
2,0.16527125984430313,0.9666895270347595,0.9642529906257817,21,-0.08511728215962648,-0.05577751249074936,nan
2,0.1720876768231392,0.9671274423599243,0.9646003223426505,22,-0.019832537323236466,-0.0071893432177603245,nan
2,0.1788511872291565,0.966088742017746,0.96483210128725,23,-0.18320807218551635,0.037620529532432556,nan
2,0.20546112209558487,0.9662264585494995,0.9638457093033177,24,0.13301209788769483,0.15443401038646698,nan
2,0.19258762896060944,0.9649204611778259,0.9647248585721633,25,-0.09076870158314705,0.0815892145037651,nan
2,0.18202461302280426,0.9675837159156799,0.9653384314993785,26,0.01807023836299777,0.02418973110616207,nan
2,0.1768711805343628,0.9646627902984619,0.9636685780772755,27,0.01585966721177101,0.051754940301179886,nan
2,0.17582469433546066,0.9670864045619965,0.9652842076546717,28,-0.0056141063570976256,-0.03187372162938118,nan
2,0.15806063264608383,0.9680616557598114,0.965639193091352,29,-0.26017084121704104,-0.09386107325553894,nan
