Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
0,0.3878157883882522,0.8891030251979828,0.9278172179263549,0,0.9105474591255188,0.8336094617843628
0,0.258279338479042,0.9646576941013336,0.9719802499887938,1,0.3046850502490997,0.4128036201000213
0,0.3048624694347381,0.9689042270183564,0.9750391978148514,2,0.1434163261204958,0.873441755771637
0,0.1830657869577407,0.9731567800045012,0.9777482210964016,3,0.3282474786043167,0.1925320327281952
0,0.1720095500349998,0.9772684276103972,0.980604974230419,4,0.0261173881590366,0.0447838939726352
0,0.1585161983966827,0.9783018827438354,0.9816636646739606,5,-0.0794862866401672,0.0123236030340194
0,0.3638361096382141,0.9673181474208832,0.9823837573316664,6,0.8923509359359741,0.9674056768417358
0,0.1351451277732849,0.979649692773819,0.982078416837251,7,-0.0285253308713436,-0.1363716125488281
0,0.1724677830934524,0.9795492887496948,0.9823326664202094,8,0.0445486769080162,0.0664978399872779
0,0.144621767103672,0.9799090623855592,0.9823088079285384,9,-0.0635149702895432,-0.0885674729943275
0,0.1675985753536224,0.9797625839710236,0.9827175352201948,10,0.0959282847121358,0.1062864512205123
0,0.1554199829697609,0.978758543729782,0.9821622830503974,11,0.0967893756926059,0.042970698326826
0,0.1556815728545189,0.9807530343532562,0.982536486775436,12,-0.1727087303996086,-0.0166446678340435
0,0.1844921484589576,0.9802080988883972,0.9828257419147428,13,-0.1434474054723978,0.2015398740768432
0,0.1708152592182159,0.98031347990036,0.9827247650661556,14,0.0099620461463928,0.0105217546224594
0,0.5100113451480865,0.977721631526947,0.9827211501431752,15,0.0667659536004066,3.440685749053955
0,0.1551008075475692,0.9778899550437928,0.9813219339548752,16,0.3462628245353699,0.1245985105633735
0,0.1637722328305244,0.9801627397537231,0.9820928765291728,17,-0.0115902998019009,0.0478148311376571
1,1.0598315000534058,0.9187263548374176,0.9308368835893585,0,1.3639879941940307,1.7749282121658323
1,0.2984937578439712,0.9488632380962372,0.9608320685119484,1,0.8301634788513184,0.6835312247276306
1,0.2384582981467247,0.9617127776145936,0.9660120121480692,2,0.1474653737619519,0.6462246775627136
1,0.2566319108009338,0.9536496698856354,0.9676195061978834,3,0.4409314453601837,0.3311179280281067
1,0.2181558683514595,0.9705358743667604,0.969572470288948,4,-0.0403903542086482,0.4420154690742492
1,0.1726313829421997,0.9732869863510132,0.9713654720872518,5,-0.0427845011465251,-8.071669435594231e-05
1,0.3402276933193207,0.9113028943538666,0.9728119232691628,6,0.7787789225578308,0.77149498462677
1,0.1510593742132187,0.9770764708518982,0.9756229461587986,7,-0.2152635633945465,-0.0901604667305946
1,0.1665291413664817,0.9777548313140868,0.976204166994018,8,0.0217419655527919,-0.0126297064125537
1,0.1518449336290359,0.9794198274612428,0.9774204680795072,9,-0.1287426590919494,-0.0741818249225616
1,0.2452730312943458,0.9647855758666992,0.9766659719989036,10,0.1472819989547133,0.2937349081039428
1,0.1615583822131157,0.97879758477211,0.9780024706793596,11,0.071574617177248,0.0377094112336635
1,0.1589698791503906,0.9790957570075988,0.97897078804839,12,0.020476031769067,-0.0124360471963882
1,0.2147914841771125,0.9785788655281068,0.9793086013542828,13,-0.164840880036354,0.1978161931037902
1,0.1718236282467842,0.9783347547054292,0.97912671172628,14,0.0058514911681413,0.0096192751079797
1,0.1363519802689552,0.9804384112358092,0.9794132546211972,15,0.1053296223282814,-0.1454930156469345
1,0.1755014732480049,0.9778931438922882,0.9799682657961292,16,-0.1387054741382599,0.1067274063825607
