Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
2,0.6940105855464935,0.8083342611789703,0.7965957547308498,0,1.2556652188301087,1.2368475198745728
2,0.26692943274974823,0.9409075677394867,0.9406475435634369,1,0.38263301849365233,0.3869892358779907
2,0.29285451769828796,0.9549494385719299,0.9556726094393833,2,0.21934227794408798,0.483748197555542
2,0.176860474050045,0.9641595184803009,0.9602630796348253,3,0.07982323914766312,0.07795731723308563
2,0.16345453262329102,0.9692519307136536,0.9692051941141342,4,-0.04213787904009223,0.041453443467617035
2,0.18053951859474182,0.9728937149047852,0.9705827207645514,5,-0.018229807540774346,0.10556971281766891
2,0.16513649374246597,0.9743770360946655,0.9725059183823335,6,-0.012253906205296516,0.06613253057003021
2,0.16476909071207047,0.9739359021186829,0.971573209661195,7,-0.13353726714849473,0.044080838561058044
2,0.14028358459472656,0.9756799042224884,0.9740062938219041,8,-0.3054306387901306,-0.08750182390213013
2,0.14289332926273346,0.9753808081150055,0.9740214764984217,9,-0.21174593418836593,-0.08529012650251389
2,0.1693728193640709,0.9756110906600952,0.974119079418894,10,-0.21793784014880657,0.00805919524282217
2,0.154423289000988,0.976238489151001,0.9748097089366261,11,-0.201919262111187,-0.044968679547309875
2,0.18030992150306702,0.9759824573993683,0.9748186875130439,12,-0.15703688003122807,0.09334661066532135
2,0.14915866404771805,0.976363331079483,0.9750755880395213,13,-0.13633699864149093,-0.0431341715157032
2,0.1567893773317337,0.9774695038795471,0.9758899096895842,14,-0.12087202966213226,-0.03346433490514755
2,0.1472799852490425,0.9770601689815521,0.9756665074493924,15,0.0971592716872692,0.044890955090522766
2,0.1411224603652954,0.9771150946617126,0.9759195520580239,16,0.08051231801509857,-0.12461034953594208
2,0.16041883826255798,0.9757915437221527,0.9765842747346086,17,-0.08806085623800755,0.029979070648550987
2,0.13126030564308167,0.9781631231307983,0.9766866387144757,18,-0.27119346559047697,-0.15108773112297058
2,0.13742422312498093,0.978268176317215,0.9771141636056303,19,-0.3277728229761124,-0.16030941903591156
2,0.19005704671144485,0.9720410406589508,0.9746560159789237,20,-0.21042575389146806,0.18452568352222443
2,0.15434817224740982,0.9779545664787292,0.9770763274117682,21,-0.20158802764490247,0.013609476387500763
2,0.17097485810518265,0.9751667380332947,0.97619211725075,22,-0.18210804760456084,0.1333995908498764
2,0.17752200365066528,0.9663378596305847,0.9757311528598809,23,-0.07314392253756523,0.044302694499492645
2,0.1362256035208702,0.979103296995163,0.9775795246906471,24,-0.2162734568119049,-0.07170713692903519
2,0.15525633841753006,0.9794071912765503,0.977961501552248,25,-0.25769751369953153,-0.016110088676214218
2,0.1621357724070549,0.9793725907802582,0.978239368632012,26,-0.2595621835440397,-0.020908648148179054
2,0.1570337787270546,0.9794989824295044,0.9781863497616321,27,-0.162684578448534,-0.060283660888671875
2,0.39939938485622406,0.9705762267112732,0.9771063285139348,28,0.9769031286239624,0.9246393442153931
2,0.21401462703943253,0.9768396615982056,0.976619160152174,29,1.1614492416381836,1.3759161233901978
