method,grouping,feature,metric,importance,std,n_channels
pfi,channel,z1000_00,pr_mae,0.01048731803894043,0.004846915582357446,1
pfi,channel,z1000_00,pr_nll,0.0008358240127562588,0.0011924600558389715,1
pfi,channel,z925_00,pr_mae,0.02750091552734375,0.00836095040734323,1
pfi,channel,z925_00,pr_nll,0.001060910224914524,0.0014729651114586831,1
pfi,channel,z850_00,pr_mae,0.016011571884155272,0.003395276122944018,1
pfi,channel,z850_00,pr_nll,0.0008723354339599254,0.0013541278782236885,1
pfi,channel,z700_00,pr_mae,0.016494035720825195,0.006103023511076312,1
pfi,channel,z700_00,pr_nll,0.0016865587234496716,0.0020204871302054008,1
pfi,channel,z500_00,pr_mae,0.002219533920288086,0.0022390341228624897,1
pfi,channel,z500_00,pr_nll,-0.0003010177612305487,0.0003362518930252571,1
pfi,channel,z300_00,pr_mae,0.007857656478881836,0.0015544389836581862,1
pfi,channel,z300_00,pr_nll,0.00170989990234367,0.0001621442920323123,1
pfi,channel,z1000_06,pr_mae,0.006953239440917969,0.0029457583367142833,1
pfi,channel,z1000_06,pr_nll,0.0009106540679931108,0.0004050224491924111,1
pfi,channel,z925_06,pr_mae,0.007176876068115234,0.0018130157804822787,1
pfi,channel,z925_06,pr_nll,0.0010223770141601029,0.00044138386322540793,1
pfi,channel,z850_06,pr_mae,0.009057855606079102,0.0027305507932872024,1
pfi,channel,z850_06,pr_nll,0.0005932235717773348,0.0009491172127145273,1
pfi,channel,z700_06,pr_mae,0.011728572845458984,0.0023310807567890343,1
pfi,channel,z700_06,pr_nll,0.0008327817916869318,0.0009186343319224082,1
pfi,channel,z500_06,pr_mae,0.0037607669830322264,0.0011515882481115843,1
pfi,channel,z500_06,pr_nll,0.000619020462036124,0.0002469690416421273,1
pfi,channel,z300_06,pr_mae,0.011694908142089844,0.00358441768198389,1
pfi,channel,z300_06,pr_nll,0.00390888690948481,0.0011538696809283023,1
pfi,channel,z1000_12,pr_mae,0.025270986557006835,0.006858178119501071,1
pfi,channel,z1000_12,pr_nll,0.0035624980926513227,0.000980511984947725,1
pfi,channel,z925_12,pr_mae,0.012549352645874024,0.003068815338904952,1
pfi,channel,z925_12,pr_nll,0.0012327384948730646,0.00028244431453104305,1
pfi,channel,z850_12,pr_mae,0.0011975288391113282,0.0007601786281780135,1
pfi,channel,z850_12,pr_nll,0.0003220510482787375,0.00010785942304704458,1
pfi,channel,z700_12,pr_mae,-0.004467487335205078,0.004949761358953154,1
pfi,channel,z700_12,pr_nll,0.0013408136367797142,0.000695030316653328,1
pfi,channel,z500_12,pr_mae,0.013616657257080078,0.004567067886323784,1
pfi,channel,z500_12,pr_nll,0.01015775680541986,0.0022375204857112735,1
pfi,channel,z300_12,pr_mae,0.017510080337524415,0.007824558977165448,1
pfi,channel,z300_12,pr_nll,0.008239092826843208,0.002350136512835824,1
pfi,channel,z1000_15,pr_mae,0.01610989570617676,0.0028404391695235898,1
pfi,channel,z1000_15,pr_nll,0.0022552585601806284,0.0001501224908312141,1
pfi,channel,z925_15,pr_mae,-0.001435995101928711,0.003531153662990941,1
pfi,channel,z925_15,pr_nll,0.0021163463592529298,0.0012418778315021215,1
pfi,channel,z850_15,pr_mae,-0.0031672000885009767,0.004256051803364024,1
pfi,channel,z850_15,pr_nll,0.0012815761566161489,0.0010718726559224626,1
pfi,channel,z700_15,pr_mae,-0.0038321495056152345,0.009329794198959894,1
pfi,channel,z700_15,pr_nll,0.004484157562255842,0.0016162867046397426,1
pfi,channel,z500_15,pr_mae,0.032413148880004884,0.010921212596215146,1
pfi,channel,z500_15,pr_nll,0.014503483772277814,0.0015808840235267694,1
pfi,channel,z300_15,pr_mae,0.024126720428466798,0.013875575505461426,1
pfi,channel,z300_15,pr_nll,0.012583446502685502,0.0017052768067175182,1
pfi,channel,z1000_18,pr_mae,-0.0005324363708496093,0.003752354454325127,1
pfi,channel,z1000_18,pr_nll,0.003510580062866131,0.0013365559260737209,1
pfi,channel,z925_18,pr_mae,-0.007473564147949219,0.009142056795593255,1
pfi,channel,z925_18,pr_nll,0.003554153442382768,0.0024248598872451095,1
pfi,channel,z850_18,pr_mae,0.00832815170288086,0.013456368554808392,1
pfi,channel,z850_18,pr_nll,0.009580507278442285,0.0028837156950407435,1
pfi,channel,z700_18,pr_mae,0.020314359664916994,0.007416276295538714,1
pfi,channel,z700_18,pr_nll,0.015504870414733852,0.0015088633120983496,1
pfi,channel,z500_18,pr_mae,0.04394712448120117,0.010797028571046365,1
pfi,channel,z500_18,pr_nll,0.02362351894378656,0.0015060377607337215,1
pfi,channel,z300_18,pr_mae,0.04743447303771973,0.015117341544348848,1
pfi,channel,z300_18,pr_nll,0.026157321929931587,0.0038614416031668413,1
pfi,channel,t1000_00,pr_mae,0.002315235137939453,0.006836910701731272,1
pfi,channel,t1000_00,pr_nll,0.0020186853408812764,0.0021026685345782365,1
pfi,channel,t925_00,pr_mae,0.011532354354858398,0.004504268489993354,1
pfi,channel,t925_00,pr_nll,0.004810843467712367,0.0019423317288445115,1
