Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL,test CRPS
2,5.27803373336792,0.1100461557507515,0.10907410209303507,0,2.343360185623169,1.8164340257644653,2.242739200592041
2,2.6602792739868164,0.6136426329612732,0.7272756643654543,1,2.024187159538269,1.4667515754699707,1.8129770755767822
2,1.7334390878677368,0.7747818827629089,0.7585149953285317,2,1.1943034291267396,1.354792833328247,1.2289851903915405
2,1.665411353111267,0.785036563873291,0.7626365455998593,3,1.5873818159103394,1.3575931787490845,1.2323375940322876
2,4.879135608673096,0.7610601782798767,0.7711243332671076,4,1.602652645111084,1.4675531387329102,2.8702499866485596
2,1.9467259645462036,0.7827749252319336,0.7644033695056452,5,1.5670359134674072,1.447645664215088,1.2298468351364136
2,1.5685955286026,0.786284863948822,0.7719956993850631,6,1.7375938892364502,1.3358618021011353,1.1799125671386719
2,1.9848860502243042,0.779045045375824,0.7764891019360171,7,1.916914200782776,1.3288822174072266,1.25742506980896
2,1.991912603378296,0.7814996242523193,0.7723697982372054,8,1.7576653242111206,1.350538969039917,1.2414301633834839
2,1.787889003753662,0.785183846950531,0.7790883653776205,9,1.546014416217804,1.314876914024353,1.1920087337493896
2,1.7871143817901611,0.7854214906692505,0.7791029026292555,10,1.5865797758102418,1.3389675617218018,1.2126203775405884
2,1.6549174785614014,0.7851880788803101,0.7894070946428111,11,1.6064700126647948,1.3220434188842773,1.1711288690567017
2,1.729941725730896,0.7829862236976624,0.7816105702869487,12,1.7890880823135376,1.3112753629684448,1.1742507219314575
2,1.8567732572555542,0.7854596972465515,0.779934178169658,13,1.520915114879608,1.3350220918655396,1.2315000295639038
2,1.9229364395141602,0.7841312289237976,0.7887492897360535,14,1.6817317247390746,1.313509225845337,1.2408521175384521
2,1.6637448072433472,0.7821615934371948,0.7766020587232763,15,1.8351038455963136,1.3202292919158936,1.1571683883666992
2,1.978826642036438,0.7826073169708252,0.7849722738202597,16,1.5123250603675842,1.3154494762420654,1.2781463861465454
2,1.701631784439087,0.789874255657196,0.7917595775707787,17,1.9280669689178467,1.3755296468734741,1.202181100845337
2,1.846777319908142,0.7828555107116699,0.7860971323743262,18,1.832903790473938,1.3535566329956055,1.23731529712677
2,1.9725505113601685,0.7852906584739685,0.791082658644041,19,1.2655336380004882,1.3453936576843262,1.2317938804626465
2,1.7316596508026123,0.7798169851303101,0.7883493565726214,20,1.0992926120758058,1.2988020181655884,1.1577816009521484
2,1.6773622035980225,0.7822782397270203,0.7858191644950463,21,1.4935939073562623,1.3035283088684082,1.1505862474441528
2,2.042551279067993,0.7850441932678223,0.7870695923210578,22,1.4316623568534852,1.336272120475769,1.336151361465454
2,2.174240827560425,0.7810130715370178,0.7946594454456863,23,1.8543712377548218,1.3278148174285889,1.415219783782959
2,1.6462743282318115,0.7855480909347534,0.7924875545162058,24,1.3047568917274475,1.286629319190979,1.1488486528396606
2,3.060352087020874,0.7794259786605835,0.7871481778034592,25,1.7871833562850952,1.4137687683105469,1.8028414249420166
2,1.677610993385315,0.7876987457275391,0.7933423726394015,26,1.9287148356437682,1.30927312374115,1.1667017936706543
2,1.9062111377716064,0.7834613919258118,0.7915757639507113,27,1.1403278827667236,1.3029625415802002,1.2439392805099487
2,1.70630943775177,0.791051983833313,0.7987823364273207,28,1.5072480320930481,1.2843927145004272,1.1458816528320312
2,1.6027984619140625,0.7904099822044373,0.7994801825918508,29,1.7709820508956908,1.3432694673538208,1.14110267162323
